Business_Name,ZCTA5,Public Address Street,Public Address City,Public Zip,Full Address,Geo,Operational_Status,Places_ID
Bostick's Prescription Pharmacy,45661,549 S W St,Piketon,45661,"549 S W St, Piketon, OH 45661, USA","39.0635098,-83.017231",OPERATIONAL,ChIJMS1Kpkn8RogRD-t9XvoNzKw
CVS Pharmacy,45640,353 Main St,Jackson,45640,"353 Main St, Jackson, OH 45640, USA","39.0496992,-82.63459379999999",OPERATIONAL,ChIJOQOv_nZLRogR2q_QghBhnoU
Walmart Pharmacy,45640,100 Walmart Dr,Jackson,45640,"100 Walmart Dr, Jackson, OH 45640, USA","39.031749,-82.6218377",OPERATIONAL,ChIJy6ksT7xLRogRMsntD9zfAt0
Holzer Family Pharmacy,45631,100 Jackson Pike,Gallipolis,45631,"100 Jackson Pike, Gallipolis, OH 45631, USA","38.846761799999996,-82.23776579999999",OPERATIONAL,ChIJk-xfpxInRogR7qoIdzcNh-U
CVS Pharmacy,45631,3066 OH-160,Gallipolis,45631,"3066 OH-160, Gallipolis, OH 45631, USA","38.8447123,-82.2340935",OPERATIONAL,ChIJ8xJWhnInRogRcmyi4QkSZFA
Holzer Emergency Medical Center - Gallipolis,45631,100 Jackson Pike,Gallipolis,45631,"100 Jackson Pike, Gallipolis, OH 45631, USA","38.8459922,-82.2375153",OPERATIONAL,ChIJf99JOg0nRogR_WAaGScmoSU
Walmart Pharmacy,45631,2145 Eastern Ave,Gallipolis,45631,"2145 Eastern Ave, Gallipolis, OH 45631, USA","38.8218028,-82.17235509999999",OPERATIONAL,ChIJJdYOlcydSIgRd-6VpRvr7xM
Fruth Pharmacy,45631,204 2nd Ave,Gallipolis,45631,"204 2nd Ave, Gallipolis, OH 45631, USA","38.8059,-82.2094925",OPERATIONAL,ChIJ971SCASeSIgRyVHAy-5hNnk
Fruth Pharmacy,45669,259 State St,Proctorville,45669,"259 State St, Proctorville, OH 45669, USA","38.4379151,-82.3800108",OPERATIONAL,ChIJFzObwNAHRogRVWcFUrQNWEw
Holter Ben A,45631,90 Jackson Pike,Gallipolis,45631,"90 Jackson Pike, Gallipolis, OH 45631, USA","38.8450443,-82.2382448",OPERATIONAL,ChIJk-xfpxInRogRCZnfLuDCqxI
Fruth Pharmacy,45769,706 W Main St,Pomeroy,45769,"706 W Main St, Pomeroy, OH 45769, USA","39.0107596,-82.04513229999999",OPERATIONAL,ChIJuWZjOdSHSIgR89Jg7-NRGDc
Swisher & Lohse Pharmacy,45769,636 E Main St,Pomeroy,45769,"636 E Main St, Pomeroy, OH 45769, USA","39.0305524,-82.0175971",OPERATIONAL,ChIJ78JCMQ2ISIgR4aaEZJsU6PY
Holzer Specialty Pharmacy,45631,448 Jackson Pike,Gallipolis,45631,"448 Jackson Pike, Gallipolis, OH 45631, USA","38.8442568,-82.2434112",OPERATIONAL,ChIJeWLD_8QnRogR-uCswFsDVbo
CSI Pharmacy,45069,8868 Beckett Rd,West Chester Township,45069,"8868 Beckett Rd, West Chester Township, OH 45069, USA","39.3341472,-84.4424251",OPERATIONAL,ChIJeT2x9C9PQIgRU5tRwC7oGaw
Kroger Pharmacy,45002,4001 Hamilton Cleves Rd,Cleves,45002,"4001 Hamilton Cleves Rd, Cleves, OH 45002, USA","39.1721059,-84.7609028",OPERATIONAL,ChIJCQNtu0XNQYgRqfgJ72jw-Fc
Gold Star Pharmacies,45002,5929 OH-128,Cleves,45002,"5929 OH-128, Cleves, OH 45002, USA","39.204014,-84.722651",OPERATIONAL,ChIJmWiWoC0zQIgRM54BmaeShuY
Kroger Pharmacy,45030,10477 Harrison Ave,Harrison,45030,"10477 Harrison Ave, Harrison, OH 45030, USA","39.24924620000001,-84.7913888",OPERATIONAL,ChIJs0Dau5gtQIgRS0SMhF3QgO8
Walgreens Pharmacy,45247,5403 N Bend Rd,Cincinnati,45247,"5403 N Bend Rd, Cincinnati, OH 45247, USA","39.1886064,-84.6022174",OPERATIONAL,ChIJ98iJ6Fa1QYgRtSabiZCgXpc
Kroger Pharmacy,45248,5910 Harrison Ave,Cincinnati,45248,"5910 Harrison Ave, Cincinnati, OH 45248, USA","39.1749185,-84.641536",OPERATIONAL,ChIJ8WC6YSzLQYgRTKIH083fBtA
Meijer Pharmacy,45251,3711 Stone Creek Blvd,Cincinnati,45251,"3711 Stone Creek Blvd, Cincinnati, OH 45251, USA","39.2507331,-84.603758",OPERATIONAL,ChIJh0z9_HNKQIgR5L5CH6N6XvU
Walgreens Pharmacy,45248,5508 Bridgetown Rd,Cincinnati,45248,"5508 Bridgetown Rd, Cincinnati, OH 45248, USA","39.1581696,-84.6302353",OPERATIONAL,ChIJvdkqTfTKQYgRg-K8t4Exg0s
Walgreens Pharmacy,45030,1032 Harrison Ave,Harrison,45030,"1032 Harrison Ave, Harrison, OH 45030, USA","39.2578323,-84.8035812",OPERATIONAL,ChIJq4RwvLotQIgRFbyjZJimP1E
Walgreens Pharmacy,45251,9775 Colerain Ave,Cincinnati,45251,"9775 Colerain Ave, Cincinnati, OH 45251, USA","39.2490818,-84.5977011",OPERATIONAL,ChIJW_qCXHBKQIgRdH-4N6E93j8
