"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
39023002501,39,023,002501,73.4,2.0137,3
39023002502,39,023,002502,75,1.4728,3
39023002601,39,023,002601,83.6,2.28,3
39023002602,39,023,002602,78.6,1.2977,3
39023002605,39,023,002605,79.1,1.8217,3
39023002701,39,023,002701,73.4,1.3308,1
39023002702,39,023,002702,77.5,1.4789,3
39023002800,39,023,002800,80.6,1.3319,3
39023002901,39,023,002901,74.2,1.1874,3
39023002902,39,023,002902,74.7,1.5684,3
39023003001,39,023,003001,77.3,1.2144,3
39023003002,39,023,003002,78.9,2.4781,3
39023003101,39,023,003101,76.7,1.611,3
39023003102,39,023,003102,81.5,2.0438,3
39023003200,39,023,003200,78.8,1.3246,3
39023003301,39,023,003301,74.9,1.4825,3
39023003302,39,023,003302,76.2,1.5224,3
39023003400,39,023,003400,74.9,1.8952,3
39023003700,39,023,003700,79,1.6297,3
39025040101,39,025,040101,75.4,1.3396,3
39025040102,39,025,040102,78.2,2.0722,3
39025040202,39,025,040202,76.4,2.1674,3
39025040203,39,025,040203,76.9,1.5956,3
39025040204,39,025,040204,74.3,1.3993,3
39025040301,39,025,040301,78.3,1.6995,3
39025040302,39,025,040302,79,2.6418,3
39025040303,39,025,040303,82.5,2.9038,3
39025040401,39,025,040401,80.8,1.4381,3
39025040403,39,025,040403,76.3,1.698,3
39025040404,39,025,040404,78.1,1.3055,3
39025040405,39,025,040405,77.3,3.375,3
39025040500,39,025,040500,78.1,1.4406,3
39025040600,39,025,040600,81.1,1.6214,3
39025040701,39,025,040701,80.7,1.5,1
39025040702,39,025,040702,75.9,2.1471,1
39025040800,39,025,040800,78.4,1.1481,2
39025040900,39,025,040900,74.1,1.1071,1
39025041000,39,025,041000,75.9,1.2849,1
39025041101,39,025,041101,76.3,1.7014,3
39025041102,39,025,041102,77.6,2.7749,3
39025041103,39,025,041103,77,1.2855,3
39025041200,39,025,041200,79.9,1.4228,3
39025041303,39,025,041303,77.7,1.4449,3
39025041305,39,025,041305,79.1,1.9547,3
39025041306,39,025,041306,78,1.6311,3
39025041307,39,025,041307,76.8,2.0946,3
39025041403,39,025,041403,76.3,1.5781,3
39025041404,39,025,041404,78.1,1.5549,2
39025041405,39,025,041405,78.4,1.9543,3
39025041406,39,025,041406,82.8,2.4559,3
39025041501,39,025,041501,82.5,1.8976,3
39025041502,39,025,041502,76.2,1.1715,3
39025041600,39,025,041600,74.5,1.1673,3
39025041701,39,025,041701,71.6,2.0732,3
39025041702,39,025,041702,77.6,1.8283,3
39025041800,39,025,041800,76.5,1.353,1
39025042000,39,025,042000,75.1,1.2538,1
39027964300,39,027,964300,71.6,1.6768,3
39027964400,39,027,964400,81.1,2.4443,3
39027964500,39,027,964500,79.1,1.2214,3
39027964600,39,027,964600,67.1,1.6599,3
39027964700,39,027,964700,77.1,1.5832,3
39027964800,39,027,964800,77.6,1.1681,2
39027964900,39,027,964900,73.9,1.0986,3
39027965000,39,027,965000,75.5,1.5127,3
39027965100,39,027,965100,74.1,1.2249,3
39029950100,39,029,950100,79.9,1.3246,3
39029950200,39,029,950200,79.8,1.215,3
39029950300,39,029,950300,79,1.2054,3
39029950400,39,029,950400,80.1,1.6958,3
39029950500,39,029,950500,76.6,1.2213,3
39029950600,39,029,950600,75.9,1.0571,3
39029950700,39,029,950700,76,1.186,3
39029950800,39,029,950800,78.2,1.4652,3
39029950900,39,029,950900,77.3,0.8327,2
39029951000,39,029,951000,78.9,1.28,3
39029951100,39,029,951100,76.1,1.2765,3
39029951200,39,029,951200,77,1.1384,3
39029951300,39,029,951300,75.9,1.4228,3
39029951400,39,029,951400,79.6,1.8179,3
39029951500,39,029,951500,74.8,1.3197,1
39029951600,39,029,951600,78.9,1.8116,3
39029951700,39,029,951700,77.5,2.1308,3
39029951800,39,029,951800,69.6,1.3398,3
39029951900,39,029,951900,75,1.3643,1
39029952000,39,029,952000,72.1,1.4517,3
39029952100,39,029,952100,70.4,1.8065,3
39029952200,39,029,952200,73.9,1.5267,3
39029952300,39,029,952300,69.7,1.5251,3
39029952400,39,029,952400,76,0.9029,2
39031960900,39,031,960900,76.4,1.1192,2
39031961000,39,031,961000,84.9,2.1204,3
