excel_index,csv_index,excel_original,csv_original,normalized_address
652,207,850 NORTH BRIDGE STREET,850 N Bridge St,850 n bridge st
652,240,850 NORTH BRIDGE STREET,850 N Bridge St,850 n bridge st
653,1203,30 W. MCKINLEY WAY,30 W McKinley Way,30 w mckinley way
654,1004,1950 WALES RD. NE,1950 Wales Rd NE,1950 wales rd ne
655,141,7398 WOOSTER PIKE,7398 Wooster Pike,7398 wooster pike
658,43,2203 BEECHMONT AVE,2203 Beechmont Ave,2203 beechmont ave
659,771,748 N. STATE STREET,748 N State St,748 n state st
660,707,1400 MICHIGAN STREET,1400 Michigan St,1400 michigan st
660,862,1400 MICHIGAN STREET,1400 Michigan St,1400 michigan st
661,449,4617 E. MAIN STREET,4617 E Main St,4617 e main st
662,534,2110 STRINGTOWN RD,2110 Stringtown Rd,2110 stringtown rd
663,915,1000 PARK AVENUE WEST,1000 Park Ave W,1000 park ave w
663,1110,1000 PARK AVENUE WEST,1000 Park Ave W,1000 park ave w
666,595,5195 N. HAMILTON RD.,5195 N Hamilton Rd,5195 n hamilton rd
667,397,859 EAST MAIN STREET,859 E Main St,859 e main st
672,1029,2124 E. STATE STREET,2124 E State St,2124 e state st
674,1514,14815 MADISON AVENUE,14815 Madison Ave,14815 madison ave
675,1244,10003 FREMONT PIKE,10003 Fremont Pike,10003 fremont pike
676,1212,1829 N. CLINTON STREET,1829 N Clinton St,1829 n clinton st
676,1222,1829 N. CLINTON STREET,1829 N Clinton St,1829 n clinton st
681,177,6385 BRANCH HILL GUINEA PIKE,6385 Branch Hill-Guinea Pike,6385 branch hill guinea pike
682,1188,15 S. MAIN STREET,15 S Main St,15 s main st
683,337,1300 E. 2ND STREET,1300 E 2nd St,1300 e 2nd st
684,33,406 MAIN STREET,406 Main St,406 main st
691,594,6201 E. BROAD STREET,6201 E Broad St,6201 e broad st
694,1412,520 BROADWAY AVENUE,520 Broadway Ave,520 broadway ave
695,1325,2730 BROADWAY,2730 Broadway,2730 broadway
696,883,1321 DELAWARE AVENUE,1321 Delaware Ave,1321 delaware ave
696,908,1321 DELAWARE AVENUE,1321 Delaware Ave,1321 delaware ave
697,469,1000 E. MAIN STREET,1000 E Main St,1000 e main st
697,478,1000 E. MAIN STREET,1000 E Main St,1000 e main st
703,1211,403 S. MAIN STREET,403 S Main St,403 s main st
703,1234,403 S. MAIN STREET,403 S Main St,403 s main st
704,367,5000 BRANDT PIKE,5000 Brandt Pike,5000 brandt pike
705,1539,20485 EUCLID AVENUE,20485 Euclid Ave,20485 euclid ave
706,1170,144 E. MAIN STREET,144 E Main St,144 e main st
708,1238,1013 N. MAIN STREET,1013 N Main St,1013 n main st
709,734,101 E. SANDUSKY AVENUE,101 E Sandusky Ave,101 e sandusky ave
709,874,101 E. SANDUSKY AVENUE,101 E Sandusky Ave,101 e sandusky ave
710,1094,4 E. LEAGUE STREET,4 E League St,4 e league st
710,1111,4 E. LEAGUE STREET,4 E League St,4 e league st
711,1120,3009 W. MARKET STREET,3009 W Market St,3009 w market st
712,766,9669 SAWMILL PARKWAY,9669 Sawmill Pkwy,9669 sawmill pkwy
713,186,1090 NORTHVIEW DRIVE,1090 Northview Dr,1090 northview dr
713,242,1090 NORTHVIEW DRIVE,1090 Northview Dr,1090 northview dr
715,263,300 GREENE STREET,300 Greene St,300 greene st
715,271,300 GREENE STREET,300 Greene St,300 greene st
716,205,1070 WESTERN AVENUE,1070 Western Ave,1070 western ave
716,243,1070 WESTERN AVENUE,1070 Western Ave,1070 western ave
718,299,1001 W. STATE STREET,1001 W State St,1001 w state st
720,134,6918 HAMILTON AVE,6918 Hamilton Ave,6918 hamilton ave
721,654,190 CHESTNUT STREET,190 Chestnut St,190 chestnut st
721,798,190 CHESTNUT STREET,190 Chestnut St,190 chestnut st
722,1441,600 S. MECCA STREET,600 S Mecca St,600 s mecca st
725,471,1213 N. BARRON STREET,1213 N Barron St,1213 n barron st
725,477,1213 N. BARRON STREET,1213 N Barron St,1213 n barron st
728,1135,19980 W. 130TH STREET,19980 W 130th St,19980 w 130th st
729,532,1444 W. 5TH AVE,1444 W 5th Ave,1444 w 5th ave
